-19.048 -16.048 -12.048 -25.048 -10.048 -1.0480 4.9520 -2.0480 -35.048 -0.048000 12.952 26.952 11.952 -8.0480 5.9520 13.952 26.952 9.9520 -2.0480 4.9520 11.952
-24.000 -19.000 -14.000 -19.000 -19.000 -6.0000 5.0000 2.0000 -17.000 -14.000 6.0000 29.000 20.000 -11.000 -1.0000 12.000 31.000 21.000 -5.0000 6.0000 17.000
-22.000 -17.000 -11.000 -24.000 -20.000 -8.0000 4.0000 3.0000 -13.000 -13.000 2.0000 23.000 19.000 -7.0000 -2.0000 7.0000 28.000 24.000 0 8.0000 19.000
-16.000 -13.000 -11.000 -10.000 -12.000 -6.0000 2.0000 -1.0000 -7.0000 -6.0000 -1.0000 14.000 13.000 -1.0000 -4.0000 -1.0000 19.000 20.000 0 6.0000 15.000
-9.2380 -8.2380 -6.2380 -5.2380 -4.2380 -3.2380 1.7620 -0.23800 -1.2380 -2.2380 -3.2380 5.7620 10.762 -1.2380 -11.238 -7.2380 11.762 18.762 -3.2380 4.7620 12.762
0.19000 1.1900 2.1900 0.19000 1.1900 -1.8100 1.1900 6.1900 6.1900 -3.8100 -6.8100 -2.8100 9.1900 -3.8100 -15.810 -12.810 3.1900 16.190 -6.8100 0.19000 7.1900
9.8100 7.8100 6.8100 13.810 8.8100 0.81000 -2.1900 4.8100 4.8100 2.8100 -9.1900 -16.190 -0.19000 -3.1900 -12.190 -13.190 -8.1900 6.8100 -2.1900 -1.1900 0.81000
18.952 13.952 9.9520 14.952 15.952 5.9520 -3.0480 -1.0480 10.952 8.9520 -3.0480 -24.048 -13.048 2.9520 -2.0480 -8.0480 -20.048 -8.0480 -3.0480 -7.0480 -10.048
15.095 11.095 7.0950 13.095 14.095 4.0950 -5.9050 -4.9050 -3.9050 13.095 -0.90500 -24.905 -18.905 9.0950 12.095 1.0950 -21.905 -14.905 8.0950 -0.90500 -10.905
7.9050 6.9050 5.9050 13.905 5.9050 -2.0950 -7.0950 -1.0950 15.905 6.9050 -4.0950 -26.095 -17.095 13.905 16.905 0.90500 -24.095 -17.095 14.905 0.90500 -12.095
4.8100 6.8100 8.8100 1.8100 2.8100 -1.1900 -3.1900 2.8100 11.810 3.8100 -5.1900 -19.190 -11.190 10.810 14.810 -0.19000 -20.190 -11.190 8.8100 0.81000 -7.1900
-0.85700 0.14300 2.1430 0.14300 1.1430 -1.8570 -2.8570 -1.8570 3.1430 3.1430 -1.8570 -9.8570 -7.8570 9.1430 14.143 3.1430 -9.8570 -8.8570 11.143 3.1430 -4.8570
-12.143 -10.143 -7.1430 -14.143 -6.1430 -1.1430 -1.1430 -5.1430 -9.1430 0.85700 2.8570 2.8570 -1.1430 5.8570 13.857 8.8570 6.8570 0.85700 13.857 7.8570 2.8570
-19.952 -15.952 -11.952 -18.952 -13.952 -1.9520 2.0480 -1.9520 -14.952 -5.9520 5.0480 15.048 10.048 -4.9520 4.0480 9.0480 20.048 15.048 2.0480 10.048 18.048
-20.143 -14.143 -7.1430 -20.143 -13.143 -0.14300 7.8570 6.8570 -17.143 -6.1430 6.8570 20.857 14.857 -9.1430 -1.1430 5.8570 20.857 15.857 -8.1430 2.8570 13.857
-16.190 -12.190 -7.1900 -12.190 -11.190 -0.19000 6.8100 4.8100 -11.190 -4.1900 5.8100 20.810 13.810 -6.1900 -4.1900 2.8100 18.810 13.810 -8.1900 -1.1900 6.8100
-15.810 -13.810 -10.810 -9.8100 -9.8100 -3.8100 2.1900 -0.81000 -14.810 0.19000 4.1900 16.190 11.190 -0.81000 -2.8100 4.1900 18.190 13.190 -0.81000 4.1900 10.190
-11.857 -9.8570 -7.8570 -5.8570 -8.8570 -5.8570 0.14300 0.14300 7.1430 -5.8570 0.14300 12.143 10.143 -5.8570 -9.8570 -0.85700 15.143 14.143 -5.8570 4.1430 15.143
-1.2380 1.7620 3.7620 1.7620 0.76200 -1.2380 4.7620 9.7620 8.7620 -2.2380 -3.2380 3.7620 8.7620 -6.2380 -14.238 -7.2380 0.76200 6.7620 -7.2380 -5.2380 -3.2380
15.048 13.048 12.048 12.048 9.0480 3.0480 2.0480 10.048 12.048 -1.9520 -7.9520 -10.952 0.048000 -4.9520 -14.952 -12.952 -13.952 1.0480 -8.9520 -6.9520 -5.9520
28.048 21.048 16.048 25.048 20.048 7.0480 0.048000 6.0480 11.048 5.0480 -6.9520 -24.952 -11.952 0.048000 -6.9520 -13.952 -29.952 -12.952 -4.9520 -10.952 -15.952
35.000 25.000 16.000 32.000 25.000 8.0000 -5.0000 0 23.000 8.0000 -6.0000 -31.000 -22.000 6.0000 1.0000 -11.000 -41.000 -24.000 -1.0000 -13.000 -25.000
23.048 17.048 11.048 22.048 15.048 3.0480 -5.9520 -0.95200 16.048 8.0480 -3.9520 -23.952 -20.952 11.048 11.048 -2.9520 -32.952 -25.952 10.048 -6.9520 -22.952
2.8100 4.8100 6.8100 4.8100 0.81000 -0.19000 -1.1900 1.8100 -2.1900 2.8100 -1.1900 -7.1900 -9.1900 6.8100 11.810 5.8100 -8.1900 -14.190 6.8100 -2.1900 -10.190
-19.905 -11.905 -2.9050 -22.905 -12.905 -3.9050 2.0950 1.0950 -8.9050 -2.9050 4.0950 11.095 4.0950 1.0950 13.095 13.095 15.095 2.0950 7.0950 6.0950 6.0950
